Subject	Sex	Group	Age	Date	Day	Session	trial_number	Side	chose_side	correct	Comment
Manno	m	young chimps	5	25/10/2018	15	2	11	l	r	0	
Manno	m	young chimps	5	25/10/2018	15	2	12	r	l	0	
Jane	f	young chimps	14	25/10/2018	15	2	1	r	r	1	
Jane	f	young chimps	14	25/10/2018	15	2	2	l	r	0	
Jane	f	young chimps	14	25/10/2018	15	2	3	r	l	0	
Jane	f	young chimps	14	25/10/2018	15	2	4	l	r	0	
Jane	f	young chimps	14	25/10/2018	15	2	5	r	r	1	
Jane	f	young chimps	14	25/10/2018	15	2	6	l	r	0	
Jane	f	young chimps	14	25/10/2018	15	2	7	l	r	0	
Jane	f	young chimps	14	25/10/2018	15	2	8	r	r	1	
Jane	f	young chimps	14	25/10/2018	15	2	9	r	r	1	
Jane	f	young chimps	14	25/10/2018	15	2	10	l	r	0	
Jane	f	young chimps	14	25/10/2018	15	2	11	l	r	0	
Jane	f	young chimps	14	25/10/2018	15	2	12	r	r	1	
William	m	young chimps	18	25/10/2018	15	2	1	r	r	1	
William	m	young chimps	18	25/10/2018	15	2	2	l	r	0	
William	m	young chimps	18	25/10/2018	15	2	3	r	r	1	
William	m	young chimps	18	25/10/2018	15	2	4	l	r	0	
William	m	young chimps	18	25/10/2018	15	2	5	r	r	1	
William	m	young chimps	18	25/10/2018	15	2	6	l	r	0	
William	m	young chimps	18	25/10/2018	15	2	7	l	r	0	
William	m	young chimps	18	25/10/2018	15	2	8	r	l	0	
William	m	young chimps	18	25/10/2018	15	2	9	r	l	0	
William	m	young chimps	18	25/10/2018	15	2	10	l	l	1	
William	m	young chimps	18	25/10/2018	15	2	11	l	l	1	
William	m	young chimps	18	25/10/2018	15	2	12	r	l	0	
Tess	f	young chimps	26	26/10/2018	15	2	1	r	l	0	
Tess	f	young chimps	26	26/10/2018	15	2	2	l	r	0	
Tess	f	young chimps	26	26/10/2018	15	2	3	r	l	0	
Tess	f	young chimps	26	26/10/2018	15	2	4	l	r	0	
Tess	f	young chimps	26	26/10/2018	15	2	5	r	l	0	
Tess	f	young chimps	26	26/10/2018	15	2	6	l	r	0	
Tess	f	young chimps	26	26/10/2018	15	2	7	l	r	0	
Tess	f	young chimps	26	26/10/2018	15	2	8	r	l	0	
