Subject	Sex	Group	Age	Date	Day	Session	trial_number	open_cylinder	comment			
Roy 	m	young chimps	11	08/10/2018	3	1	2	0				
Roy 	m	young chimps	11	08/10/2018	3	1	3	0				
Roy 	m	young chimps	11	08/10/2018	3	1	4	1				
Roy 	m	young chimps	11	08/10/2018	3	1	5	1				
Roy 	m	young chimps	11	08/10/2018	3	1	6	0				
Roy 	m	young chimps	11	08/10/2018	3	1	7	0				
Roy 	m	young chimps	11	08/10/2018	3	1	8	1				
Roy 	m	young chimps	11	08/10/2018	3	1	9	0				
Roy 	m	young chimps	11	08/10/2018	3	1	10	0				
Roy 	m	young chimps	11	08/10/2018	3	1	11	1				
Roy 	m	young chimps	11	08/10/2018	3	1	12	1				
Tess	f	young chimps	26	09/10/2018	3	1	1	0	good footage			
Tess	f	young chimps	26	09/10/2018	3	1	2	1				
Tess	f	young chimps	26	09/10/2018	3	1	3	0				
Tess	f	young chimps	26	09/10/2018	3	1	4	1	cracked one of the transparent cylinders and ate the food			
Tess	f	young chimps	26	09/10/2018	3	1	5	1				
Tess	f	young chimps	26	09/10/2018	3	1	6	0				
Tess	f	young chimps	26	09/10/2018	3	1	7	1				
Tess	f	young chimps	26	09/10/2018	3	1	8	1				
Tess	f	young chimps	26	09/10/2018	3	1	9	0				
Tess	f	young chimps	26	09/10/2018	3	1	10	1				
Tess	f	young chimps	26	09/10/2018	3	1	11	1				
Tess	f	young chimps	26	09/10/2018	3	1	12	1				
Chipie	f	young chimps	27	10/10/2018	3	1	1	0				
Chipie	f	young chimps	27	10/10/2018	3	1	2	1				
Chipie	f	young chimps	27	10/10/2018	3	1	3	1				
Chipie	f	young chimps	27	10/10/2018	3	1	4	1				
Chipie	f	young chimps	27	10/10/2018	3	1	5	1				
Chipie	f	young chimps	27	10/10/2018	3	1	6	0				
Chipie	f	young chimps	27	10/10/2018	3	1	7	1				
Chipie	f	young chimps	27	10/10/2018	3	1	8	1				
Chipie	f	young chimps	27	10/10/2018	3	1	9	1				
Chipie	f	young chimps	27	10/10/2018	3	1	10	0				
Chipie	f	young chimps	27	10/10/2018	3	1	11	1				
Chipie	f	young chimps	27	10/10/2018	3	1	12	1				
Amizero	f	young chimps	29	10/10/2018	3	1	1	0				
Amizero	f	young chimps	29	10/10/2018	3	1	2	1				
Amizero	f	young chimps	29	10/10/2018	3	1	3	0				
Amizero	f	young chimps	29	10/10/2018	3	1	4	1				
Amizero	f	young chimps	29	10/10/2018	3	1	5	1				
Amizero	f	young chimps	29	10/10/2018	3	1	6	0				
Amizero	f	young chimps	29	10/10/2018	3	1	7	1				
Amizero	f	young chimps	29	10/10/2018	3	1	8	0				
Amizero	f	young chimps	29	10/10/2018	3	1	9	1				
Amizero	f	young chimps	29	10/10/2018	3	1	10	0				
Amizero	f	young chimps	29	10/10/2018	3	1	11	0				
Amizero	f	young chimps	29	10/10/2018	3	1	12	1				
Jane	f	young chimps	14	10/10/2018	3	1	1	1	exclude subject: she received experience with the transprent closed cylidners before the session due to remaining cylinders in one of the enclosures			
Jane	f	young chimps	14	10/10/2018	3	1	2	1				
Jane	f	young chimps	14	10/10/2018	3	1	3	1				
Jane	f	young chimps	14	10/10/2018	3	1	4	1				
Jane	f	young chimps	14	10/10/2018	3	1	5	1				
Jane	f	young chimps	14	10/10/2018	3	1	6	1				
Jane	f	young chimps	14	10/10/2018	3	1	7	1				
Jane	f	young chimps	14	10/10/2018	3	1	8	1				
Jane	f	young chimps	14	10/10/2018	3	1	9	0				
Jane	f	young chimps	14	10/10/2018	3	1	10	1				
Jane	f	young chimps	14	10/10/2018	3	1	11	1				
Jane	f	young chimps	14	10/10/2018	3	1	12	1				
Zee	m	old chimps	18	14/10/2018	3	1	1	0				
