Subject	Sex	Group	Age	Date	Day	Session	trial_number	correct	food_obtained	food_retrieved in the end	Comment
Angela	f	old chimps	7	17/11/2018	6	2	2	0			
Angela	f	old chimps	7	17/11/2018	6	2	3	0			
Angela	f	old chimps	7	17/11/2018	6	2	4	0			
Angela	f	old chimps	7	17/11/2018	6	2	5	1	1		
Angela	f	old chimps	7	17/11/2018	6	2	6	1	1	7	
Oscar	m	old chimps	21	17/11/2018	6	2	1	0			
Oscar	m	old chimps	21	17/11/2018	6	2	2	0			
Oscar	m	old chimps	21	17/11/2018	6	2	3	0			
Oscar	m	old chimps	21	17/11/2018	6	2	4	1	1		
Oscar	m	old chimps	21	17/11/2018	6	2	5	1	1		
Oscar	m	old chimps	21	17/11/2018	6	2	6	0		7	
Judy	f	old chimps	35	17/11/2018	6	2	1	0			
Judy	f	old chimps	35	17/11/2018	6	2	2	1	1		
Judy	f	old chimps	35	17/11/2018	6	2	3	0			
Judy	f	old chimps	35	17/11/2018	6	2	4	0			
Judy	f	old chimps	35	17/11/2018	6	2	5	1	1		
Judy	f	old chimps	35	17/11/2018	6	2	6	1	1	7	
Alley	f	old chimps	31	17/11/2018	6	2	1	0			
Alley	f	old chimps	31	17/11/2018	6	2	2	1	1		
Alley	f	old chimps	31	17/11/2018	6	2	3	0			
Alley	f	old chimps	31	17/11/2018	6	2	4	0			
Alley	f	old chimps	31	17/11/2018	6	2	5	0			
Alley	f	old chimps	31	17/11/2018	6	2	6	1	1	4	
George	m	old chimps	15	17/11/2018	6	2	1	0			
George	m	old chimps	15	17/11/2018	6	2	2	0			
George	m	old chimps	15	17/11/2018	6	2	3	1	1		
George	m	old chimps	15	17/11/2018	6	2	4	0			
George	m	old chimps	15	17/11/2018	6	2	5	0		1	session stopped after 10 min
George	m	old chimps	15	17/11/2018	6	2	6				
Ajabu	f	old chimps	10	17/11/2018	6	2	1	0			
Ajabu	f	old chimps	10	17/11/2018	6	2	2	1	1		
Ajabu	f	old chimps	10	17/11/2018	6	2	3	0			
Ajabu	f	old chimps	10	17/11/2018	6	2	4	1	1		
Ajabu	f	old chimps	10	17/11/2018	6	2	5	1			
Ajabu	f	old chimps	10	17/11/2018	6	2	6	0		7	
Saidia	f	old chimps	15	17/11/2018	6	2	1	1	1		
Saidia	f	old chimps	15	17/11/2018	6	2	2	0			
Saidia	f	old chimps	15	17/11/2018	6	2	3	0			
Saidia	f	old chimps	15	17/11/2018	6	2	4	0			
Saidia	f	old chimps	15	17/11/2018	6	2	5	0		1	session stopped after 10 min
Saidia	f	old chimps	15	17/11/2018	6	2	6				
William	m	young chimps	18	14/10/2018	5	2	1	0			
William	m	young chimps	18	14/10/2018	5	2	2	1	1		
William	m	young chimps	18	14/10/2018	5	2	3	0			
William	m	young chimps	18	14/10/2018	5	2	4	1	1		
William	m	young chimps	18	14/10/2018	5	2	5	0			
William	m	young chimps	18	14/10/2018	5	2	6	0			
Roy	m	young chimps	11	14/10/2018	5	2	1	0			
Roy	m	young chimps	11	14/10/2018	5	2	2	0			
Roy	m	young chimps	11	14/10/2018	5	2	3	0			
Roy	m	young chimps	11	14/10/2018	5	2	4	1	0		
Roy	m	young chimps	11	14/10/2018	5	2	5	1	0		
Roy	m	young chimps	11	14/10/2018	5	2	6	1	1		
Tess	f	young chimps	26	14/10/2018	5	2	1	0			
Tess	f	young chimps	26	14/10/2018	5	2	2	0			
Tess	f	young chimps	26	14/10/2018	5	2	3	0			
Tess	f	young chimps	26	14/10/2018	5	2	4	1	1		
Tess	f	young chimps	26	14/10/2018	5	2	5	0			
Tess	f	young chimps	26	14/10/2018	5	2	6	1	1		
Uruhara	m	young chimps	29	14/10/2018	5	2	1	0			
Uruhara	m	young chimps	29	14/10/2018	5	2	2	0			
Uruhara	m	young chimps	29	14/10/2018	5	2	3	1	1		
Uruhara	m	young chimps	29	14/10/2018	5	2	4	0			
Uruhara	m	young chimps	29	14/10/2018	5	2	5	1	1		
Uruhara	m	young chimps	29	14/10/2018	5	2	6	1	1		
Manno	m	young chimps	5	14/10/2018	5	2	1	1	1		
Manno	m	young chimps	5	14/10/2018	5	2	2	0			
Manno	m	young chimps	5	14/10/2018	5	2	3	1	1		
Manno	m	young chimps	5	14/10/2018	5	2	4	1	0		
Manno	m	young chimps	5	14/10/2018	5	2	5	0			
Manno	m	young chimps	5	14/10/2018	5	2	6	1	1		
Jane	f	young chimps	14	14/10/2018	5	2	1	0			
Jane	f	young chimps	14	14/10/2018	5	2	2	0			
Jane	f	young chimps	14	14/10/2018	5	2	3	1			
Jane	f	young chimps	14	14/10/2018	5	2	4	1			
Jane	f	young chimps	14	14/10/2018	5	2	5	0			
Jane	f	young chimps	14	14/10/2018	5	2	6	1			
Amizero	f	young chimps		13/10/2018	5	1	1	0			
Amizero	f	young chimps		13/10/2018	5	1	2	1	1		
Amizero	f	young chimps		13/10/2018	5	1	3	0			
Amizero	f	young chimps		13/10/2018	5	1	4	0			
Amizero	f	young chimps		13/10/2018	5	1	5	1	1		
Amizero	f	young chimps		13/10/2018	5	1	6	1	1		
Amizero	f	young chimps	11	14/10/2018	5	2	1	0			
Amizero	f	young chimps	11	14/10/2018	5	2	2	0			
Amizero	f	young chimps	11	14/10/2018	5	2	3	0			
Amizero	f	young chimps	11	14/10/2018	5	2	4	0			
Amizero	f	young chimps	11	14/10/2018	5	2	5	0			
Amizero	f	young chimps	11	14/10/2018	5	2	6	0			
