Subject	Sex	Group	Age	Date	Day	Condition	Number_boxes	Trial_number	trial_correct	number_redundant_searched	1st_choice	2nd_choice	second_choice_correct	third_choice	third_choice_correct	fourth_choice	fourth_choice_correct	fifth_choice	fifth_choice_correct	sixth_choice	sixth_choice_correct	seventh_choice	seventh_choice_correct	eigth_choice	eighth_choice_correct	ninth_choice	ninth_choice_correct	tenth_choice	tenth_choice_correct	comment
Alikaka	m	old chimps	16	12/10/2018	1	one_platform:feature+space	5	2	0	5	3	1	1	1	0	2	1	3	0	2	0	5	1	5	0	1	0			
Alikaka	m	old chimps	16	12/10/2018	1	one_platform:feature+space	5	3	0	5	5	3	1	3	0	3	0	5	0	4	1	2	1	2	0	4	0			
Niyonkuru	m	young chimps	28	06/11/2018	1	one_platform:feature+space	4	1	0	2	5	5	0	4	1	4	0	3	1	2	1									
Niyonkuru	m	young chimps	28	06/11/2018	1	one_platform:feature+space	4	2	0	2	5	4	1	3	1	4	0	3	0	2	1									
Niyonkuru	m	young chimps	28	06/11/2018	1	one_platform:feature+space	4	3	0	1	4	5	1	4	0	3	1	2	1											
Niyonkuru	m	young chimps	28	06/11/2018	1	one_platform:feature+space	5	1	0	4	4	2	1	2	0	5	1	2	0	2	0	1	1	4	0	3	1			
Niyonkuru	m	young chimps	28	06/11/2018	1	one_platform:feature+space	5	2	0	3	5	4	1	3	1	3	0	3	0	1	1	4	0	2	1					
Niyonkuru	m	young chimps	28	06/11/2018	1	one_platform:feature+space	5	3	0	1	4	3	1	5	1	4	0	2	1	1	1									received two more choices after last retrieved food items
Kisa	m	young chimps	25	06/11/2018	1	one_platform:feature+space	4	1	0	1	5	4	1	5	0	2	1	3	1											
Kisa	m	young chimps	25	06/11/2018	1	one_platform:feature+space	4	2	0	1	5	4	1	4	0	2	1	3	1											
Kisa	m	young chimps	25	06/11/2018	1	one_platform:feature+space	4	3	0	1	5	2	1	4	1	4	0	3	1											
Kisa	m	young chimps	25	06/11/2018	1	one_platform:feature+space	5	1	1	0	5	2	1	1	1	3	1	4	1											
Kisa	m	young chimps	25	06/11/2018	1	one_platform:feature+space	5	2	1	0	5	3	1	4	1	2	1	1	1											
Kisa	m	young chimps	25	06/11/2018	1	one_platform:feature+space	5	3	1	0	5	2	1	4	1	3	1	1	1											5th choice corrected from video
Akela	f	young chimps	30	06/11/2018	1	one_platform:feature+space	4	1	0	5	5	5	0	5	0	5	0	3	1	5	0	5	0							
Akela	f	young chimps	30	06/11/2018	1	one_platform:feature+space	4	2	0	1	3	5	1	4	1	4	0	2	1											
Akela	f	young chimps	30	06/11/2018	1	one_platform:feature+space	4	3	0	2	5	4	1	4	0	2	1	4	0	3	1									
Akela	f	young chimps	30	06/11/2018	1	one_platform:feature+space	5	1	0	3	3	1	1	1	0	4	1	5	1	5	0	4	0	2	1					
Akela	f	young chimps	30	06/11/2018	1	one_platform:feature+space	5	2	0	5	5	5	0	2	1	2	0	1	1	5	0	2	0	2	0					
Akela	f	young chimps	30	06/11/2018	1	one_platform:feature+space	5	3	0		5	5	0	5	0															did not approach the platform for more than 1 min
Dufatanya	f	young chimps	27	06/11/2018	1	one_platform:feature+space	4	1	0	5	2	3	1	3	0	5	1	2	0	5	0	3	0	3	0					
Dufatanya	f	young chimps	27	06/11/2018	1	one_platform:feature+space	4	2	0	1	5	3	1	2	1	5	0	4	1											
Dufatanya	f	young chimps	27	06/11/2018	1	one_platform:feature+space	4	3	0	1	3	4	1	5	1	4	0	2	1											
Dufatanya	f	young chimps	27	06/11/2018	1	one_platform:feature+space	5	1	0	5	5	3	1	1	1	3	0	5	0	5	0	3	0	3	0					
Dufatanya	f	young chimps	27	06/11/2018	1	one_platform:feature+space	5	2	0	5	5	2	1	2	0	3	1	5	0	5	0	2	0	3	0					
Dufatanya	f	young chimps	27	06/11/2018	1	one_platform:feature+space	5	3	0	1	5	4	1	5	0	2	1	3	1	1	1									
