trial.id	Subject	Sex	Species	Age	Date	Session	Trial	condition	side	first_move_LR	first_move_correct	Change_latency_code	Change_latency_value	Change_position_code	Change_position_value	StartPos_latency_code	StartPos_latency_value	food_retrieved_code	food_retrieved_latency	comment	side_change	firsttest_trial_number	Trial_test
48	William	m	young chimps	18	23/10/2018	2	48	training	l	l	c							et	2083		no	0	
49	William	m	young chimps	18	23/10/2018	2	49	training	r	r	c							et	336		yes	0	
50	William	m	young chimps	18	23/10/2018	2	50	test	r	l	i	ct	4713	cp	8	st	4773				no	0	10
51	William	m	young chimps	18	23/10/2018	2	51	training	l	l	c							et	360		yes	0	
52	William	m	young chimps	18	23/10/2018	2	52	training	r	r	c							et	1252		yes	0	
53	William	m	young chimps	18	23/10/2018	2	53	training	l	l	c							et	457		yes	0	
54	William	m	young chimps	18	23/10/2018	2	54	training	l	l	c							et	489		no	0	
55	William	m	young chimps	18	23/10/2018	2	55	training	r	l	i							et	1782		yes	0	
56	William	m	young chimps	18	23/10/2018	2	56	test	r	r	c	ct	1153	cp	11	st	1348				no	0	11
57	William	m	young chimps	18	23/10/2018	2	57	training	l	l	c							et	492		yes	0	
58	William	m	young chimps	18	23/10/2018	2	58	training	r	r	c							et	527		yes	0	
59	William	m	young chimps	18	23/10/2018	2	59	test	l	l	c	ct	1404	cp	10	st	1615				yes	0	12
60	William	m	young chimps	18	23/10/2018	2	60	training	l	l	c							et	426		no	0	
61	Manno	m	young chimps	5	23/10/2018	1	1	training	r	r	c							et	-25661			0	
62	Manno	m	young chimps	5	23/10/2018	1	2	training	l	l	c							et	10948		yes	0	
63	Manno	m	young chimps	5	23/10/2018	1	3	training	r	l	i							et	20553		yes	0	
64	Manno	m	young chimps	5	23/10/2018	1	4	training	r	l	i							et	19283		no	0	
65	Manno	m	young chimps	5	23/10/2018	1	5	training	l	l	c							et	-9178		yes	0	
66	Manno	m	young chimps	5	23/10/2018	1	6	training	l	l	c							et	11940		no	0	
67	Manno	m	young chimps	5	23/10/2018	1	7	training	r	r	c							et	24747		yes	0	
68	Manno	m	young chimps	5	23/10/2018	1	8	training	l	l	c							et	11780		yes	0	
69	Manno	m	young chimps	5	23/10/2018	1	9	training	r	l	i							et	13470		yes	0	
70	Manno	m	young chimps	5	23/10/2018	1	10	training	l	l	c							et	882		yes	0	
71	Manno	m	young chimps	5	23/10/2018	1	11	test	r	l	i	ct	1053	cp	22	st	1487				yes	1	1
72	Manno	m	young chimps	5	23/10/2018	1	12	training	l	r	i							et	1194		yes	0	
73	Manno	m	young chimps	5	23/10/2018	1	13	test	l	l	c	ct	1002	cp	21	st	1232				no	0	2
74	Manno	m	young chimps	5	23/10/2018	1	14	training	r	l	i							et	2116		yes	0	
75	Manno	m	young chimps	5	23/10/2018	1	15	training	r	r	c							et	539		no	0	
76	Manno	m	young chimps	5	23/10/2018	1	16	test	l	l	c	ct	852	cp	22	st	1136				yes	0	3
77	Manno	m	young chimps	5	23/10/2018	1	17	training	r	r	c							et	592		yes	0	
78	Manno	m	young chimps	5	23/10/2018	1	18	training	l	r	i							et	4029		yes	0	
79	Manno	m	young chimps	5	23/10/2018	1	19	training	l	l	c							et	1124		no	0	
80	Manno	m	young chimps	5	23/10/2018	1	20	test	r	l	i	ct	451	cp	7	st	730				yes	0	4
81	Manno	m	young chimps	5	23/10/2018	1	21	training	l	l	c							et	853		yes	0	
82	Manno	m	young chimps	5	23/10/2018	1	22	training	r	l	i							et	5652		yes	0	
83	Manno	m	young chimps	5	23/10/2018	1	23	training	l	l	c							et	1091		yes	0	
84	Manno	m	young chimps	5	23/10/2018	1	24	test	r	l	i	ct	1704	cp	1	st	1705				yes	0	5
85	Manno	m	young chimps	5	23/10/2018	1	25	training	r	l	i							et	4278		no	0	
86	Manno	m	young chimps	5	23/10/2018	1	26	training	r	l	i							et	4025		no	0	
87	Manno	m	young chimps	5	23/10/2018	1	27	training	r	r	c							et	459		no	0	
88	Manno	m	young chimps	5	23/10/2018	1	28	training	l	l	c							et	764		yes	0	
89	Manno	m	young chimps	5	23/10/2018	1	29	test	l	l	c	ct	1354	cp	21	st	3173				no	0	6
90	Manno	m	young chimps	5	23/10/2018	1	30	training	l	l	c							et	1194		no	0	
91	Manno	m	young chimps	5	24/10/2018	2	31	training	l	l	c							et	1923			0	
92	Manno	m	young chimps	5	24/10/2018	2	32	training	r	l	i							et	3743		yes	0	
93	Manno	m	young chimps	5	24/10/2018	2	33	training	r	l	i							et	1610		no	0	
94	Manno	m	young chimps	5	24/10/2018	2	34	training	l	l	c							et	1250		yes	0	
95	Manno	m	young chimps	5	24/10/2018	2	35	training	l	l	c							et	1061		no	0	
96	Manno	m	young chimps	5	24/10/2018	2	36	training	r	l	i							et	2630		yes	0	
