"Subject","Updating_P1.mistakes","updating_P1P2_first4","updating_diffscore","Updating_4Boxes.Mistakes","Updating_5Boxes.Mistakes","Updating2_P1.mistakes","updatingTraining4_first4","updatingTraining5_first5_2","boxes_mistakes","Boxes_P1.mistakes","Grid_Distance","grid_numberAttempts","Inh.grid.correct","Inh.grid.correct1","Inh.grid.correct2","StopSignal_trimmed_change_latency","Inh.cylinders.correct","Inh.cylinders.correct1","Inh.cylinders.correct2","Inh.boxes.correct","Inh.boxes.correct1","Inh.boxes.correct2","Shifting.tray.correct","Shifting.tray.correct.S1","Shifting.tray.correct.S2","Shifting.shelf.correct","shelf_switching_mistakes","shelf_switches","SD","SR","CD","ID","ED"
"Namukisa",1.75,4.5,3.25,3.66666666666667,5,NA,1.33333333333333,1.5,0.875,0.375,1.01967233141667,11,0.666666666666667,0.833333333333333,0.5,2446,0.666666666666667,0.666666666666667,0.666666666666667,0.291666666666667,0.25,0.333333333333333,0.5625,0.583333333333333,0.541666666666667,0.638888888888889,11,6,0.566666666666667,0.125,0.8,0.857142857142857,0.55
"Nani",1,5.5,0.5,1.33333333333333,3.66666666666667,NA,1,1,1.125,0.375,1.08925565083333,9.25,0.666666666666667,0.833333333333333,0.5,2597,0.625,0.5,0.75,0.0416666666666667,0,0.0833333333333333,0.479166666666667,0.5,0.458333333333333,0.527777777777778,6,4,0.520833333333333,0.0416666666666667,0.6,1,0.625
"Niyonkuru",1.25,5.75,-2.5,1.66666666666667,2.66666666666667,1.33333333333333,1.33333333333333,1.66666666666667,1.125,0.5,1.17204125841667,13.25,0.25,0.333333333333333,0.166666666666667,NA,0.458333333333333,0.416666666666667,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.5,0.5,0.694444444444444,8,7,0.650793650793651,0.166666666666667,0.636363636363636,1,0.45
"Nkuumwa",1.25,5.5,0.75,2.33333333333333,2.66666666666667,NA,0.666666666666667,1.33333333333333,1,0.5,0.7011844635,3.58333333333333,0.666666666666667,0.833333333333333,0.5,2340,0.708333333333333,0.583333333333333,0.833333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.479166666666667,0.458333333333333,0.5,0.888888888888889,4,10,0.444444444444444,0.0833333333333333,0.857142857142857,0.875,0.5
"Okech",0.75,6.25,-1.75,4,5,NA,1.66666666666667,2,1,0.5,1.29526698041667,10,0.666666666666667,0.666666666666667,0.666666666666667,3940,0.583333333333333,0.5,0.666666666666667,0,0,0,0.4375,0.5,0.375,0.75,8,8,0.714285714285714,0.0416666666666667,0.526315789473684,1,0.475
"Oscar",2.5,3.75,1.75,3.66666666666667,4.33333333333333,1,1.33333333333333,1.66666666666667,1.375,0.625,1.49107685216667,8,0.166666666666667,0,0.333333333333333,1445,0.583333333333333,0.583333333333333,0.583333333333333,0.333333333333333,0.25,0.416666666666667,0.479166666666667,0.458333333333333,0.5,0.583333333333333,1,2,0.5625,0.375,0.681818181818182,0.857142857142857,0.425
"Pasa",1.75,4.25,2.5,4,1.66666666666667,NA,1.66666666666667,1.33333333333333,1.25,0.625,0.956559055333333,5.33333333333333,0.416666666666667,0.333333333333333,0.5,3046,0.461538461538462,0.375,0.6,0,0,0,0.520833333333333,0.416666666666667,0.625,0.833333333333333,4,10,0.818181818181818,0.478260869565217,0.857142857142857,0.857142857142857,0.45
"Rambo",2.75,3,5,2.66666666666667,2,NA,1.66666666666667,1.33333333333333,0.875,0.25,1.60760565516667,10.5,0.583333333333333,0.5,0.666666666666667,4722,0.5,0.333333333333333,0.666666666666667,0,0,0,0.708333333333333,0.625,0.791666666666667,0.277777777777778,21,3,0.592592592592593,0,0.8,1,0.475
"Roy",1.75,4.5,1.25,5,5,0.833333333333333,2,3,0.75,0.375,1.3632071225,6.08333333333333,0.5,0.5,0.5,2342,0.708333333333333,0.416666666666667,1,0.25,0.0833333333333333,0.416666666666667,0.625,0.5,0.75,0.833333333333333,6,8,0.5,0.0769230769230769,0.615384615384615,1,0.5
"Safari",0.5,6,-4,3,2.33333333333333,NA,1,1.66666666666667,1.125,0.625,1.08793332383333,4.63636363636364,0.5,0.5,0.5,3518,0.458333333333333,0.416666666666667,0.5,0.1875,0.0833333333333333,0.5,NA,0.333333333333333,NA,NA,NA,NA,0.5,0.0416666666666667,0.692307692307692,0.75,0.6
"Sally",2,4.25,2.5,2,4.33333333333333,NA,1.33333333333333,1,1.125,0.75,1.32386245966667,11,0.583333333333333,0.5,0.666666666666667,3969,0.791666666666667,0.666666666666667,0.916666666666667,0.291666666666667,0.416666666666667,0.166666666666667,0.583333333333333,0.625,0.541666666666667,0.638888888888889,1,2,0.642857142857143,0.375,0.727272727272727,0.857142857142857,0.4
"Sara",0.75,6.25,-0.333333333333333,2.33333333333333,3.66666666666667,NA,0.666666666666667,1,1.375,0.75,1.32441018541667,6.66666666666667,0.5,0.5,0.5,4798,0.458333333333333,0.416666666666667,0.5,0.333333333333333,0.25,0.416666666666667,0.479166666666667,0.583333333333333,0.375,0.861111111111111,5,10,0.578947368421053,0.157894736842105,0.6,1,0.5
"Tess",1.25,5.75,-2.75,2.33333333333333,3,1.33333333333333,1,1.66666666666667,1.5,0.75,1.83980726908333,9.83333333333333,0.416666666666667,0.5,0.333333333333333,1454,0.833333333333333,0.666666666666667,1,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.479166666666667,0.458333333333333,0.5,0.5,16,6,0.541666666666667,NA,0.583333333333333,0.909090909090909,0.525
"Tumbo",1.25,5.25,1,2.33333333333333,5,NA,1.33333333333333,1.33333333333333,1.375,0.75,1.79526698033333,10,0.5,0.333333333333333,0.666666666666667,1454,0.625,0.666666666666667,0.583333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.583333333333333,0.583333333333333,0.583333333333333,0.416666666666667,11,4,0.56140350877193,0.333333333333333,0.523809523809524,0.785714285714286,0.475
"Umugenzi",1,6,0,0.666666666666667,4.66666666666667,NA,0.333333333333333,2,1,0.5,0.922588984166667,11,0.416666666666667,0.5,0.333333333333333,2398,0.541666666666667,0.416666666666667,0.666666666666667,0.0833333333333333,0,0.166666666666667,0.583333333333333,0.541666666666667,0.625,0.861111111111111,4,8,0.666666666666667,0.0416666666666667,1,1,0.525
"Umutama",1.5,5,3,1.33333333333333,3.66666666666667,NA,0.666666666666667,2,1.25,0.5,1.58753097627273,6.81818181818182,0.5,0.5,0.5,2072,0.583333333333333,0.583333333333333,0.583333333333333,0.0416666666666667,0,0.0833333333333333,0.520833333333333,0.5,0.541666666666667,0.916666666666667,3,10,0.875,0.421052631578947,0.8,0.857142857142857,0.5
"Uruhara",1,5,-0.5,4.33333333333333,4.33333333333333,0.666666666666667,1.66666666666667,1.66666666666667,1,0.5,1.39212345208333,14.0833333333333,0.333333333333333,0.166666666666667,0.5,2056,0.625,0.583333333333333,0.666666666666667,0.291666666666667,0.25,0.333333333333333,0.729166666666667,0.625,0.833333333333333,0.833333333333333,2,9,0.625,0.125,0.722222222222222,0.785714285714286,0.6
"William",1.5,5.25,-1.5,4,3.33333333333333,0.5,1.33333333333333,1,1.25,0.625,1.43688672383333,9.41666666666667,0.25,0.166666666666667,0.333333333333333,2156,0.208333333333333,0.166666666666667,0.25,0.208333333333333,0,0.416666666666667,0.625,0.625,0.625,0.722222222222222,6,6,0.857142857142857,0.8,0.75,1,0.5
"Yoyo",0.75,6.5,-1.5,2,1.66666666666667,NA,1,1,1.375,0.75,1.68721146658333,10.75,0.583333333333333,0.666666666666667,0.5,1642,0.541666666666667,0.5,0.583333333333333,0.208333333333333,0,0.416666666666667,0.4375,0.416666666666667,0.458333333333333,0.777777777777778,2,7,0.55,0.208333333333333,0.675675675675676,1,0.525
"Zee",2,3.75,1.75,3.33333333333333,5,1,1.33333333333333,2.33333333333333,1.25,0.75,1.20655905525,7.41666666666667,0.333333333333333,0.333333333333333,0.333333333333333,4295,0.375,0.333333333333333,0.416666666666667,0.333333333333333,0.25,0.416666666666667,0.479166666666667,0.5,0.458333333333333,0.666666666666667,7,4,0.652173913043478,0.0416666666666667,0.565217391304348,0.888888888888889,0.5
