Subject	Sex	Group	Age	Date	Condition	Number_boxes	Trial_number	trial_correct	number_redundant_searched	1st_choice	2nd_choice	second_choice_correct	third_choice	third_choice_correct	comment
Amizero	f	young chimps	29	07/12/2018	one_platform	3	2	1	0	3	2	1	1	1	
Amizero	f	young chimps	29	07/12/2018	one_platform	3	3	1	0	3	2	1	1	1	
Amizero	f	young chimps	29	07/12/2018	one_platform	3	4	1	0	3	2	1	1	1	
Amizero	f	young chimps	29	07/12/2018	one_platform	3	5	0	1	2	3	1	2	0	
Amizero	f	young chimps	29	07/12/2018	one_platform	3	6	0	1	2	3	1	2	0	
Roy 	m	young chimps	11	07/12/2018	one_platform	2	1	0	0	1	1	0			
Roy 	m	young chimps	11	07/12/2018	one_platform	2	2	0	0	1	1	0			
Roy 	m	young chimps	11	07/12/2018	one_platform	2	3	1	1	1	2	1			
Roy 	m	young chimps	11	07/12/2018	one_platform	2	4	0	0	1	1	0			
Roy 	m	young chimps	11	07/12/2018	one_platform	2	5	1	1	1	2	1			
Roy 	m	young chimps	11	07/12/2018	one_platform	2	6	1	1	1	2	1			
Roy 	m	young chimps	11	07/12/2018	one_platform	3	1	0	0	1	3	1	2	1	
Roy 	m	young chimps	11	07/12/2018	one_platform	3	2	1	1	2	1	1	3	0	
Roy 	m	young chimps	11	07/12/2018	one_platform	3	3	0	0	1	2	1	3	1	
Roy 	m	young chimps	11	07/12/2018	one_platform	3	4	1	1	2	2	0	1	1	
Roy 	m	young chimps	11	07/12/2018	one_platform	3	5	1	2	1	1	0	1	0	
Roy 	m	young chimps	11	07/12/2018	one_platform	3	6	1	1	1	2	1	2	0	
Jane	f	young chimps	14	07/12/2018	one_platform	2	1	0	1	2	2	0			
Jane	f	young chimps	14	07/12/2018	one_platform	2	2	0	1	2	2	0			
Jane	f	young chimps	14	07/12/2018	one_platform	2	3	0	1	2	2	0			
Jane	f	young chimps	14	07/12/2018	one_platform	2	4	1	0	2	1	1			
Jane	f	young chimps	14	07/12/2018	one_platform	2	5	1	0	2	1	1			
Jane	f	young chimps	14	07/12/2018	one_platform	2	6	1	0	1	2	1			
Jane	f	young chimps	14	07/12/2018	one_platform	3	1	0	1	3	2	1	2	0	
Jane	f	young chimps	14	07/12/2018	one_platform	3	2	1	0	3	1	1	2	1	
Jane	f	young chimps	14	07/12/2018	one_platform	3	3	0	1	1	1	0	3	1	
Jane	f	young chimps	14	07/12/2018	one_platform	3	4	1	0	2	1	1	3	1	
Jane	f	young chimps	14	07/12/2018	one_platform	3	5	0	1	2	1	1	2	0	
Jane	f	young chimps	14	07/12/2018	one_platform	3	6	1	0	1	2	1	3	1	
Chipie	f	young chimps	27	06/12/2018	one_platform	2	1	1	0	1	2	1			
Chipie	f	young chimps	27	06/12/2018	one_platform	2	2	1	0	1	2	1			
Chipie	f	young chimps	27	06/12/2018	one_platform	2	3	1	0	2	1	1			
Chipie	f	young chimps	27	06/12/2018	one_platform	2	4	1	0	1	2	1			
Chipie	f	young chimps	27	06/12/2018	one_platform	2	5	1	0	2	1	1			
Chipie	f	young chimps	27	06/12/2018	one_platform	2	6	1	0	1	2	1			
Chipie	f	young chimps	27	06/12/2018	one_platform	3	1	1	0	1	3	1	2	1	
Chipie	f	young chimps	27	06/12/2018	one_platform	3	2	1	0	3	1	1	2	1	
Chipie	f	young chimps	27	06/12/2018	one_platform	3	3	1	0	2	1	1	3	1	
Chipie	f	young chimps	27	08/12/2018	one_platform	3	4	0	1	1	2	1	2	0	
Chipie	f	young chimps	27	08/12/2018	one_platform	3	5	0	1	2	1	1	2	0	
Chipie	f	young chimps	27	08/12/2018	one_platform	3	6	0	1	2	1	1	2	0	
Mwanzo	f	old chimps	22	15/12/2018	one_platform	2	1	1	0	1	2	1			
Mwanzo	f	old chimps	22	15/12/2018	one_platform	2	2	0	1	2	2	0			
Mwanzo	f	old chimps	22	15/12/2018	one_platform	2	3	0	1	2	2	0			
Mwanzo	f	old chimps	22	15/12/2018	one_platform	2	4	0	1	2	2	0			
Mwanzo	f	old chimps	22	15/12/2018	one_platform	2	5	1	0	2	1	1			
Mwanzo	f	old chimps	22	15/12/2018	one_platform	2	6	1	0	2	1	1			session stopped due to interference from Angela
Mwanzo	f	old chimps	22	16/12/2018	one_platform	3	1	1	0	3	2	1	1	1	
Mwanzo	f	old chimps	22	16/12/2018	one_platform	3	2	1	0	3	2	1	1	1	
Mwanzo	f	old chimps	22	16/12/2018	one_platform	3	3	0	1	2	3	1	2	0	
Mwanzo	f	old chimps	22	16/12/2018	one_platform	3	4	0	1	1	2	1	2	0	
Mwanzo	f	old chimps	22	16/12/2018	one_platform	3	5	0	1	3	2	1	2	0	
Mwanzo	f	old chimps	22	16/12/2018	one_platform	3	6	0	1	3	2	1	3	0	
Mary	f	old chimps	15	13/12/2018	one_platform	2	1	1	0	1	2	1			
Mary	f	old chimps	15	13/12/2018	one_platform	2	2	1	0	1	2	1			
Mary	f	old chimps	15	13/12/2018	one_platform	2	3	1	0	1	2	1			
Mary	f	old chimps	15	13/12/2018	one_platform	2	4	1	0	1	2	1			
Mary	f	old chimps	15	13/12/2018	one_platform	2	5	0	1	1	1	0			
Mary	f	old chimps	15	13/12/2018	one_platform	2	6	1	0	1	2	1			
Mary	f	old chimps	15	13/12/2018	one_platform	3	1	1	0	1	2	1	3	1	
Mary	f	old chimps	15	13/12/2018	one_platform	3	2	0	1	3	3	0	2	1	
Mary	f	old chimps	15	13/12/2018	one_platform	3	3	0	1	2	3	1	3	0	
Mary	f	old chimps	15	13/12/2018	one_platform	3	4	0	1	3	2	1	2	0	
Mary	f	old chimps	15	13/12/2018	one_platform	3	5	0	1	1	2	1	2	0	
Mary	f	old chimps	15	13/12/2018	one_platform	3	6	1	0	2	3	1	1	1	
Amahirwe	m	old chimps	20	14/12/2018	one_platform	2	1	1	0	1	2	1			
Amahirwe	m	old chimps	20	14/12/2018	one_platform	2	2	0	1	1	1	0			
Amahirwe	m	old chimps	20	14/12/2018	one_platform	2	3	0	1	2	2	0			
Amahirwe	m	old chimps	20	14/12/2018	one_platform	2	4	1	0	1	2	1			
Amahirwe	m	old chimps	20	14/12/2018	one_platform	2	5	0	1	2	2	0			
Amahirwe	m	old chimps	20	14/12/2018	one_platform	2	6	1	0	2	1	1			
Amahirwe	m	old chimps	20	14/12/2018	one_platform	3	1	0	1	2	1	1	2	0	
Amahirwe	m	old chimps	20	14/12/2018	one_platform	3	2	0	1	2	2	0	3	1	
Amahirwe	m	old chimps	20	14/12/2018	one_platform	3	3	1	0	3	1	1	2	1	
Amahirwe	m	old chimps	20	14/12/2018	one_platform	3	4	0	1	2	2	0	3	1	
Amahirwe	m	old chimps	20	14/12/2018	one_platform	3	5	0	1	2	1	1	2	0	
Amahirwe	m	old chimps	20	14/12/2018	one_platform	3	6	1	0	1	2	1	3	1	
Edvard	m	old chimps	18	15/12/2018	one_platform	2	1								did not make a second choice within 1  min
Edvard	m	old chimps	18	15/12/2018	one_platform	2	2	1	0	1	2	1			
Edvard	m	old chimps	18	15/12/2018	one_platform	2	3	0	1	2	2	0			
Edvard	m	old chimps	18	15/12/2018	one_platform	2	4	0	1	2	2	0			
Edvard	m	old chimps	18	15/12/2018	one_platform	2	5	0	1	2	2	0			
Edvard	m	old chimps	18	15/12/2018	one_platform	2	6	0	1	2	2	0			
Edvard	m	old chimps	18	15/12/2018	one_platform	3	1	0	1	3	3	0	1	1	
Edvard	m	old chimps	18	15/12/2018	one_platform	3	2	0	1	3	3	0	1	1	
Edvard	m	old chimps	18	15/12/2018	one_platform	3	3	1	0	1	2	1	3	1	
Edvard	m	old chimps	18	15/12/2018	one_platform	3	4	0	1	3	2	1	2	0	
Edvard	m	old chimps	18	15/12/2018	one_platform	3	5	0	1	3	2	1	3	0	
Edvard	m	old chimps	18	15/12/2018	one_platform	3	6	0	1	3	1	1	3	0	
Zee	m	old chimps	18	13/12/2018	one_platform	2	1	1	0	2	1	1			
Zee	m	old chimps	18	13/12/2018	one_platform	2	2	1	0	2	1	1			
