Subject	Gender	Group	Age	Trial	Type	Grid	2ndtask_initial	2ndtask_end	NrUntilfindGrid	choice P2	corr P2	choice01	choice01_x	choice01_y	food_x	food_y	distance_c01	choice1_correct	choice02	choice03	choice04	choice05	choice06	choice07	choice08	choice09	choice10	choice11	choice12	choice13	choice14	choice15	choice16	choice17	choice18	choice19	choice20	choice21	choice22	choice23	choice24	choice25	choice26	choice27	choice28	choice29	choice30	choice31	choice32	choice33	choice34	choice35	choice36	choice37	choice38	choice39	choice40	choice41	choice42	choice43	choice44	choice45	choice46	choice47	choice48	choice49	choice50	choice51	choice52	choice53	choice54	choice55	choice56	choice57	choice58	choice59	choice60
Roy	m	young chimps	11	9	test	14	1	3	13	3	1	10	2	3	2	4	1	0	13	9	5	6	7	3	2	1	4	8	11	14																																															
Roy	m	young chimps	11	10	test	8	2	1	5	1	1	10	2	3	4	2	2.236067977	0	6	3	4	8																																																							
Roy	m	young chimps	11	11	test	7	3	1	4	1	1	14	2	4	3	2	2.236067977	0	10	6	7																																																								
Roy	m	young chimps	11	12	test	15	2	3	2	3	1	11	3	3	3	4	1	0	15																																																										
Tess	f	young chimps	26	1	warm-up	8			1			8	4	2	4	2	0	1																																																											
Tess	f	young chimps	26	2	warm-up	3			5			14	2	4	3	1	3.16227766	0	15	12	8	3																																																							
Tess	f	young chimps	26	1	test	9	1	2	12	1	0	4	4	1	1	3	3.605551275	0	8	3	2	6	5	12	16	15	14	10	9																																																
Tess	f	young chimps	26	2	test	6	3	1	3	1	1	8	4	2	2	2	2	0	7	6																																																									
Tess	f	young chimps	26	3	test	10	2	3	5	3	1	6	2	2	2	3	1	0	5	9	13	10																																																							
Tess	f	young chimps	26	4	test	12	3	2	1	3	0	12	4	3	4	3	0	1																																																											
Tess	f	young chimps	26	5	test	2	2	1	8	1	1	6	2	2	2	1	1	0	7	8	12	16	15	6	2																																																				
Tess	f	young chimps	26	6	test	11	1	3	41	1	1	5	1	2	3	3	2.236067977	0	6	2	1	3	7	8	12	16	15	14	10	6	5	1	2	3	5	9	10	9	13	9	13	14	15	16	12	7	3	2	6	4	3	4	8	7	8	12	16	11																			
Tess	f	young chimps	26	7	test	5	1	2	6	2	1	8	4	2	1	2	3	0	7	6	2	1	5																																																						
Tess	f	young chimps	26	8	test	3	3	2	9	2	1	7	3	2	3	1	1	0	2	1	5	1	7	8	4	3																																																			
Tess	f	young chimps	26	9	test	14	1	3	11	3	1	2	2	1	2	4	3	0	5	1	3	2	7	8	12	11	10	14																																																	
Tess	f	young chimps	26	10	test	8	2	1	7	2	0	6	2	2	4	2	2	0	2	5	6	7	3	8																																																					
Tess	f	young chimps	26	11	test	7	3	1	5	1	1	6	2	2	3	2	1	0	5	1	3	7																																																							
Tess	f	young chimps	26	12	test	15	2	3	10	3	1	6	2	2	3	4	2.236067977	0	2	1	5	10	9	13	10	11	15																																																		
Uruhara	m	young chimps	29	1	warm-up	8			9			15	3	4	4	2	2.236067977	0	16	14	13	5	6	1	4	8																																																			
Uruhara	m	young chimps	29	2	warm-up	3			9			16	4	4	3	1	3.16227766	0	15	14	13	5	7	16	8	3																																																			
Uruhara	m	young chimps	29	1	test	9	1	2	2	2	1	13	1	4	1	3	1	0	9																																																										
Uruhara	m	young chimps	29	2	test	6	3	1	7	1	1	13	1	4	2	2	2.236067977	0	9	12	16	14	15	5																																																					
